Ticker,Name,Sector
PTRS,PARTNERS BANCORP,financial-services
MTCR,METACRINE,healthcare
ENOB,ENOCHIAN BIOSCIENCES INC,healthcare
STSA,SATSUMA PHARMACEUTICALS INC,healthcare
PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,technology
BXG,BLUEGREEN CORP,consumer-cyclical
SWKH,SWK HOLDINGS CORP,financial-services
ULBI,ULTRALIFE CORP,industrials
BHA,BIGLARI HOLDINGS INC CLASS A,consumer-cyclical
NL,NL INDUSTRIES INC,industrials
MRKR,MARKER THERAPEUTICS INC,healthcare
LYRA,LYRA THERAPEUTICS INC,healthcare
CATB,CATABASIS PHARMACEUTICALS INC,healthcare
ELA,ENVELA CORP,consumer-cyclical
ATXI,AVENUE THERAPEUTICS INC,healthcare
VERO,VENUS CONCEPT INC,healthcare
ADRO,ADURO BIOTECH CVR,healthcare
VALU,VALUE LINE INC,financial-services
WLL,WHITING PETROLEUM CORP,energy
BRID,BRIDGFORD FOODS CORP,consumer-defensive
NMRD,NEMAURA MEDICAL INC,healthcare
PANL,PANGAEA LOGISTICS SOLUTIONS LTD,industrials
SCPH,SCPHARMACEUTICALS INC,healthcare
SIEB,SIEBERT FINANCIAL CORP,financial-services
CWBR,COHBAR INC,healthcare
TCI,TRANSCONTINENTAL REALTY INVESTORS,real-estate
BLPH,BELLEROPHON THERAPEUTICS INC,healthcare
PNRG,PRIMEENERGY RESOURCES CORP,energy
AVCO,AVALON GLOBOCARE CORP,healthcare
CIX,COMPX INTERNATIONAL INC,industrials
ARL,AMERICAN REALTY INVESTORS INC,real-estate
GWGH,GWG HOLDINGS INC,financial-services
PROG,PROGENITY INC,healthcare
VERY,VERICITY INC,financial-services
OFED,OCONEE FEDERAL FINANCIAL CORP,financial-services
NRBO,NEUROBO PHARMACEUTICALS INC,healthcare
USD,USD CASH,cash-derivatives
RVI,Retail Value Inc Cash Accrual,real-estate
VTVT,VTV THERAPEUTICS INC CLASS A,healthcare
SEAC,SEACHANGE INTERNATIONAL INC,technology
AYTU,AYTU BIOSCIENCE INC,healthcare
WLLAW,WHITING PETROLEUM EQUITY WARRANTS,energy
WLLBW,WHITING PETROLEUM EQUITY WARRANTS,energy
GTXI,GTXI INC - CVR,healthcare
